,[c/o],[c/o]_err,[o/h],[o/h]_err,type
0,,,-0.5232923324855427,0.05,RL
1,0.09994864893151634,0.16,0.06670766751445711,0.03,RL
2,0.09994864893151456,0.16999999999999998,0.1367076675144574,0.05,RL
3,0.059948648931515414,0.14,0.04670766751445754,0.03,RL
4,-0.030051351068484444,0.14,-0.513292332485543,0.05,RL
5,0.34994864893151634,0.27999999999999997,-0.18329233248554289,0.04,RL
6,0.46994864893151556,0.2,-0.26329233248554296,0.05,RL
7,-0.030051351068484444,0.22,0.05670766751445733,0.04,RL
8,0.1999486489315142,0.21,0.17670766751445832,0.09,RL
9,0.0699486489315152,0.26,-0.06329233248554189,0.06,RL
10,-0.06005135106848558,0.18,-0.03329233248554253,0.06,RL
11,,,-0.14329233248554196,0.06,RL
12,,,-0.46329233248554225,0.15,RL
13,,,-0.5032923324855414,0.04,RL
14,,,0.41670766751445854,0.08,RL
15,-0.26005135106848487,0.15000000000000002,-0.20329233248554246,0.05,RL
16,-0.3600513510684863,0.19,-0.34329233248554125,0.04,RL
17,,,-0.5632923324855419,0.02,RL
18,-0.2500513510684851,,0.1367076675144574,0.08,RL
19,-0.18005135106848658,,0.15670766751445875,0.13,RL
20,0.2799486489315143,,-0.46329233248554225,0.02,RL
21,-0.030051351068485332,,-0.5632923324855419,0.02,RL
22,,,-0.34329233248554125,0.02,RL
23,,,-0.003292332485541394,0.02,RL
24,-0.27005135106848466,0.27,-0.10329233248554281,0.12,RL
25,,,-0.18329233248554289,0.13,RL
26,-0.3600513510684845,0.27,-0.013292332485542957,0.11,RL
27,,,-0.2432923324855416,0.07,RL
28,-0.4014547107853823,0.095,-0.9662760461371,0.022,dwarf
29,-0.6234547107853823,0.065,-1.0292760461371007,0.022,dwarf
30,-0.5374547107853823,0.093,-0.9232760461371008,0.023,dwarf
31,-0.23045471078538227,0.102,-0.8852760461371005,0.021,dwarf
32,-0.6894547107853823,0.114,-0.9392760461371008,0.022,dwarf
33,-0.5084547107853823,0.102,-0.8552760461370994,0.02,dwarf
34,-0.5274547107853823,0.142,-0.9052760461371001,0.021,dwarf
35,-0.46345471078538225,0.075,-0.8592760461371007,0.02,dwarf
36,-0.7824547107853823,0.116,-0.8262760461370995,0.021,dwarf
37,-0.34145471078538225,0.111,-0.8542760461371,0.022,dwarf
38,-0.7694547107853822,0.079,-0.9692760461371002,0.023,dwarf
39,-0.12445471078538228,0.118,-0.8262760461370995,0.023,dwarf
40,-0.5314547107853823,0.087,-0.8452760461370996,0.02,dwarf
41,-0.2934547107853823,0.129,-0.8092760461371,0.022,dwarf
42,-0.34745471078538226,0.111,-0.6422760461371002,0.022,dwarf
43,-0.2664547107853823,0.143,-0.8032760461370998,0.022,dwarf
44,-0.5344547107853823,0.102,-0.6432760461370997,0.02,dwarf
45,-0.6354547107853823,0.101,-0.5342760461370997,0.02,dwarf
46,-0.3914547107853823,0.121,-0.6882760461370996,0.018,dwarf
47,0.21994864893151472,0.052500000000000005,0.01670766751445818,0.02,RL
48,0.1799486489315147,0.03,0.01670766751445818,0.01,RL
49,-0.050051351068485295,0.09,-0.07329233248554168,0.02,RL
50,-0.1300513510684853,0.14250000000000002,-0.10329233248554281,0.05,RL
