,R,cdf
0,0.0,0.0
1,0.01,0.0
2,0.02,0.0
3,0.03,0.0
4,0.04,0.0
5,0.05,0.0
6,0.06,0.0
7,0.07,0.0
8,0.08,0.0
9,0.09,0.0
10,0.1,0.0
11,0.11,0.0
12,0.12,0.0
13,0.13,0.0
14,0.14,0.0
15,0.15,0.0
16,0.16,0.0
17,0.17,0.0
18,0.18,0.0
19,0.19,0.0
20,0.2,0.0
21,0.21,0.0
22,0.22,0.0
23,0.23,0.0
24,0.24,0.0
25,0.25,0.0
26,0.26,0.0
27,0.27,0.0
28,0.28,0.0
29,0.29,0.0
30,0.3,0.0
31,0.31,0.0
32,0.32,0.0
33,0.33,0.0
34,0.34,0.0
35,0.35000000000000003,0.0
36,0.36,0.0
37,0.37,0.0
38,0.38,0.0
39,0.39,0.0
40,0.4,0.0
41,0.41000000000000003,0.0
42,0.42,0.0
43,0.43,0.0
44,0.44,0.0
45,0.45,0.0
46,0.46,0.0
47,0.47000000000000003,0.0
48,0.48,0.0
49,0.49,0.0
50,0.5,0.0
51,0.51,0.0
52,0.52,0.0
53,0.53,0.0
54,0.54,0.0
55,0.55,0.0
56,0.56,0.0
57,0.5700000000000001,0.0
58,0.58,0.0
59,0.59,0.0
60,0.6,0.0
61,0.61,0.0
62,0.62,0.0
63,0.63,0.0
64,0.64,0.0
65,0.65,0.0
66,0.66,0.0
67,0.67,0.0
68,0.68,0.0
69,0.6900000000000001,0.0
70,0.7000000000000001,0.0
71,0.71,0.0
72,0.72,0.0
73,0.73,0.0
74,0.74,0.0
75,0.75,0.0
76,0.76,0.0
77,0.77,0.0
78,0.78,0.0
79,0.79,0.0
80,0.8,0.0
81,0.81,0.0
82,0.8200000000000001,0.0
83,0.8300000000000001,0.0
84,0.84,0.0
85,0.85,0.0
86,0.86,0.0
87,0.87,0.0
88,0.88,0.0
89,0.89,0.0
90,0.9,0.0
91,0.91,0.0
92,0.92,0.0
93,0.93,0.0
94,0.9400000000000001,0.0
95,0.9500000000000001,0.0
96,0.96,0.0
97,0.97,0.0
98,0.98,0.0
99,0.99,0.0
100,1.0,0.0
101,1.01,0.0
102,1.02,0.0
103,1.03,0.0
104,1.04,0.0
105,1.05,0.0
106,1.06,0.0
107,1.07,0.0
108,1.08,0.0
109,1.09,0.0
110,1.1,0.0
111,1.11,0.0
112,1.12,0.0
113,1.1300000000000001,0.0
114,1.1400000000000001,0.0
115,1.1500000000000001,0.0
116,1.16,0.0
117,1.17,0.0
118,1.18,0.0
119,1.19,0.0
120,1.2,0.0
121,1.21,0.0
122,1.22,0.0
123,1.23,0.0
124,1.24,0.0
125,1.25,0.0
126,1.26,0.0
127,1.27,0.0
128,1.28,0.0
129,1.29,0.0
130,1.3,0.0
131,1.31,0.0
132,1.32,0.0
133,1.33,0.0
134,1.34,0.0
135,1.35,0.0
136,1.36,0.0
137,1.37,0.0
138,1.3800000000000001,0.0
139,1.3900000000000001,0.0
140,1.4000000000000001,0.0
141,1.41,0.0
142,1.42,0.0
143,1.43,0.0
144,1.44,0.0
145,1.45,0.0
146,1.46,0.0
147,1.47,0.0
148,1.48,0.0
149,1.49,0.0
150,1.5,0.0
151,1.51,0.0
152,1.52,0.0
153,1.53,0.0
154,1.54,0.0
155,1.55,0.0
156,1.56,0.0
157,1.57,0.0
158,1.58,0.0
159,1.59,0.0
160,1.6,0.0
161,1.61,0.0
162,1.62,0.0
163,1.6300000000000001,0.0
164,1.6400000000000001,0.0
165,1.6500000000000001,0.0
166,1.6600000000000001,0.0
167,1.67,0.0
168,1.68,0.0
169,1.69,0.0
170,1.7,0.0
171,1.71,0.0
172,1.72,0.0
173,1.73,0.0
174,1.74,0.0
175,1.75,0.0
176,1.76,0.0
177,1.77,0.0
178,1.78,0.0
179,1.79,0.0
180,1.8,0.0
181,1.81,0.0
182,1.82,0.0
183,1.83,0.0
184,1.84,0.0
185,1.85,0.0
186,1.86,0.0
187,1.87,0.0
188,1.8800000000000001,0.0
189,1.8900000000000001,0.0
190,1.9000000000000001,0.0
191,1.9100000000000001,0.0
192,1.92,0.0
193,1.93,0.0
194,1.94,0.0
195,1.95,0.0
196,1.96,0.0
197,1.97,0.0
198,1.98,0.0
199,1.99,0.0
200,2.0,0.0
201,2.0100000000000002,0.0
202,2.02,0.0
203,2.0300000000000002,0.0
204,2.04,0.0
205,2.05,0.0
206,2.06,0.0
207,2.07,0.0
208,2.08,0.0
209,2.09,0.0
210,2.1,0.0
211,2.11,0.0
212,2.12,0.0
